Altium Designer Pick and Place Locations
C:\Users\gaurav\Documents\Altium\phase2\ultrazed_base\ultrazed_base\Project Outputs for ultrazed_base\Pick Place for ultrazed_PCIe_x1.csv

========================================================================================================================
File Design Information:

Date:       05-08-24
Time:       08:28
Revision:   15b38d8627f27c3a22e3e27047c8c68d6fb22e60
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P10","Header","TopLayer","Header3x","145.1356","63.2333","180","3 Pin Header"
"T26","TestHook","TopLayer","1502-x","14.1478","88.7222","0",""
"T25","TestHook","TopLayer","1502-x","160.8582","95.5548","0",""
"R111","RES_NL_0603","TopLayer","RESC1608N","18.3848","69.6640","180","Resistor, SMD chip"
"R108","RES_NL_0603","TopLayer","RESC1608N","5.9182","49.3776","180","Resistor, SMD chip"
"SW2","Switch","TopLayer","1MS1T1B4M7QES","183.4896","85.2678","90","Switch SPDT"
"R116","RES_NL_0603","TopLayer","RESC1608N","140.0301","70.1833","270","Resistor, SMD chip"
"R115","RES_NL_0603","TopLayer","RESC1608N","141.6812","70.1833","270","Resistor, SMD chip"
"C128","100n","TopLayer","CAPC1608N","138.4300","70.1756","90","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"J13","22292031","TopLayer","22-23-2031","133.4073","72.9061","180","22292031"
"R105","RES_NL_0603","TopLayer","RESC1608N","89.5604","55.4482","90","Resistor, SMD chip"
"R102","RES_NL_0603","TopLayer","RESC1608N","88.1634","55.4482","90","Resistor, SMD chip"
"C26","100n","TopLayer","CAPC1005N","58.1266","17.7410","180","Capacitor SMD Cer 100nF 10% 16V X5R 0402"
"C25","100n","TopLayer","CAPC1005N","58.1266","16.8260","180","Capacitor SMD Cer 100nF 10% 16V X5R 0402"
"SW1","DIP-Switch-8 219-8MST","TopLayer","219-8MST","40.1574","77.9198","0","DIP Switch 8 Position"
"R93","Thick Film","TopLayer","RESC1005N","98.5159","29.4894","180","Resistor SMD chip 3.3k Ohm 0.063W 5% 0402"
"R92","Thick Film","TopLayer","RESC1005N","92.0750","20.9804","180","Resistor SMD chip 3.3k Ohm 0.063W 5% 0402"
"R91","Thick Film","TopLayer","RESC1005N","96.9264","20.9804","180","Resistor SMD chip 3.3k Ohm 0.063W 5% 0402"
"R90","Thick Film","TopLayer","RESC1005N","93.7172","29.4894","180","Resistor SMD chip 3.3k Ohm 0.063W 5% 0402"
"RA5","Thick Film","TopLayer","YC164","155.3492","23.4442","0","Resistor array 4-pack 5% 0402 SMD"
"P9","Header","TopLayer","Header3x","78.5114","18.9357","180","3 Pin Header"
"P8","Header","TopLayer","Header3x","86.4870","18.9103","0","3 Pin Header"
"L6","Ferrite","TopLayer","FBC2012N","170.5704","100.4316","0","Ferrite Bead"
"J23","22292031","TopLayer","22-23-2031","175.8696","99.0346","270","22292031"
"R117","RES_NL_0603","TopLayer","RESC1608N","55.9985","50.1044","180","Resistor, SMD chip"
"D20","SDT5A50SA-13","TopLayer","DO-214AC","53.2892","48.0314","180","Diode"
"D19","LED","TopLayer","1206_LED","22.0218","23.8252","180","LED"
"D18","LED","TopLayer","1206_LED","166.3700","95.7580","90","LED"
"D17","LED","TopLayer","1206_LED","152.8636","58.3570","90","LED"
"D16","LED","TopLayer","1206_LED","152.9080","72.3138","90","LED"
"SW5","222KJVAAR","TopLayer","222KJVAAR","133.4262","17.3228","0",""
"SW4","222KJVAAR","TopLayer","222KJVAAR","146.0500","72.5784","90",""
"SW3","222KJVAAR","TopLayer","222KJVAAR","146.1770","82.9640","90",""
"R114","RES_NL_0603","TopLayer","RESC1608N","140.0301","80.5688","270","Resistor, SMD chip"
"R113","RES_NL_0603","TopLayer","RESC1608N","141.6812","80.5688","270","Resistor, SMD chip"
"C129","100n","TopLayer","CAPC1608N","138.8761","19.2788","90","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C127","100n","TopLayer","CAPC1608N","138.4300","80.5611","90","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"R112","RES_NL_0603","TopLayer","RESC1608N","106.8832","31.6484","90","Resistor, SMD chip"
"R110","RES_NL_0603","TopLayer","RESC1608N","109.3511","31.6484","90","Resistor, SMD chip"
"R109","RES_NL_0603","TopLayer","RESC1608N","102.1566","31.6511","90","Resistor, SMD chip"
"R107","RES_NL_0603","TopLayer","RESC1608N","104.5464","31.6484","90","Resistor, SMD chip"
"R106","RES_NL_0603","TopLayer","RESC1608N","97.3328","31.6484","90","Resistor, SMD chip"
"R104","RES_NL_0603","TopLayer","RESC1608N","99.6950","31.6484","90","Resistor, SMD chip"
"R103","RES_NL_0603","TopLayer","RESC1608N","91.3892","18.8722","270","Resistor, SMD chip"
"R101","RES_NL_0603","TopLayer","RESC1608N","92.8116","18.8722","270","Resistor, SMD chip"
"R100","RES_NL_0603","TopLayer","RESC1608N","96.2152","18.8722","270","Resistor, SMD chip"
"R99","Thick Film","TopLayer","RESC1005N","108.1187","29.4894","180","Resistor SMD chip 3.3k Ohm 0.063W 5% 0402"
"R98","RES_NL_0603","TopLayer","RESC1608N","97.6630","18.8722","270","Resistor, SMD chip"
"R97","RES_NL_0603","TopLayer","RESC1608N","92.5381","31.6491","90","Resistor, SMD chip"
"R96","Thick Film","TopLayer","RESC1005N","103.3156","29.4894","180","Resistor SMD chip 3.3k Ohm 0.063W 5% 0402"
"R95","RES_NL_0603","TopLayer","RESC1608N","94.9095","31.6484","90","Resistor, SMD chip"
"J21","SFW15S","TopLayer","SFW15S-2STMAE1LF","144.4498","42.4688","270","15 pin 1mm FPC, RPI Camera"
"J20","SFW15S","TopLayer","SFW15S-2STMAE1LF","132.7692","55.3146","90","15 pin 1mm FPC, RPI Camera"
"D15","LED","TopLayer","1206_LED","24.9428","92.5322","90","LED"
"D14","LED","TopLayer","1206_LED","28.4829","92.5322","90","LED"
"D13","LED","TopLayer","1206_LED","32.0231","92.5322","90","LED"
"D12","LED","TopLayer","1206_LED","46.1835","92.5322","90","LED"
"D11","LED","TopLayer","1206_LED","39.1033","92.5322","90","LED"
"D10","LED","TopLayer","1206_LED","42.6434","92.5322","90","LED"
"D9","LED","TopLayer","1206_LED","35.5632","92.5322","90","LED"
"D8","LED","TopLayer","1206_LED","49.7237","92.5322","90","LED"
"D7","LED","TopLayer","1206_LED","53.2638","92.5322","90","LED"
"J15","Header 2x40","TopLayer","Header_2x50","89.8713","99.2124","180",""
"R94","RES_NL_0603","TopLayer","RESC1608N","140.5890","19.2532","90","Resistor, SMD chip"
"J19","JTAG","TopLayer","878321420","150.0632","17.6022","0","JTAG"
"D6","SDT5A50SA-13","TopLayer","DO-214AC","153.7813","27.0121","180","Diode"
"P7","Header","TopLayer","Header3x","20.1803","84.3534","90","3 Pin Header"
"P2","Header","TopLayer","Header3x","20.1803","92.9640","90","3 Pin Header"
"R89","RES_NL_0603","TopLayer","RESC1608N","50.3682","60.3758","0","Resistor, SMD chip"
"U9","24AA025E","TopLayer","SOT23-6","55.7721","56.8076","90","MAC EEPROM"
"R88","RES_NL_0603","TopLayer","RESC1608N","52.1462","56.2610","180","Resistor, SMD chip"
"R87","RES_NL_0603","TopLayer","RESC1608N","52.1462","57.7850","180","Resistor, SMD chip"
"C126","100n","TopLayer","CAPC1608N","53.0606","60.1472","270","Capacitor SMD Cer 1nF 10% 100V X7R 0603"
"D5","SDT5A50SA-13","TopLayer","DO-214AC","27.1996","40.5873","180","Diode"
"U8","AP7365-WG-7","TopLayer","SOT23-5","27.5299","37.2755","180","LDO Reg ADJ 600mA"
"R86","RES_NL_0603","TopLayer","RESC1608N","24.5872","34.3662","90","Resistor, SMD chip"
"R85","RES_NL_0603","TopLayer","RESC1608N","24.5872","37.3888","90","Resistor, SMD chip"
"C125","10µ","TopLayer","CAPC3225N","21.4376","35.0012","180","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C94","1u","TopLayer","CAPC1608N","23.1101","40.6961","90","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
